System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
08:32:05:231, 838344990738938,   13.030,   35.000, 2800,   6.880,  90.497,  25.138,   3.081,  42.790,  11.886, 49,  0,   0.416,   5.384,   1.496,   0.657,   6.804,   1.890,   7.000,  15.000,   0.781,   0.000,   0.000,   33,   6.789
08:32:05:782, 838345593821464,   13.581,   36.000, 2600,   6.900,  94.299,  26.194,   3.289,  44.602,  12.390, 49,  0,   0.422,   5.617,   1.560,   0.450,   7.052,   1.959,   7.000,  15.000,   0.781,   0.000,   0.000,   36,   7.055
08:32:06:333, 838346196941478,   14.132,   37.000, 2400,   6.888,  98.095,  27.249,   3.295,  46.418,  12.894, 48,  0,   0.422,   5.850,   1.625,   0.435,   7.291,   2.025,   7.000,  15.000,   0.781,   0.000,   0.000,   35,   6.843
08:32:06:875, 838346789790815,   14.674,   36.000, 2500,   6.874, 101.819,  28.283,   3.236,  48.171,  13.381, 48,  0,   0.420,   6.077,   1.688,   0.481,   7.552,   2.098,   7.000,  15.000,   0.781,   0.000,   0.000,   34,   6.956
08:32:07:403, 838347367152670,   15.201,   35.000, 2800,   6.829, 105.422,  29.284,   3.293,  49.908,  13.863, 49,  0,   0.415,   6.296,   1.749,   0.386,   7.756,   2.154,   7.000,  15.000,   0.781,   0.000,   0.000,   34,   6.205
08:32:07:955, 838347971664803,   15.754,   37.000, 2700,   6.902, 109.234,  30.343,   3.260,  51.709,  14.364, 49,  0,   0.416,   6.526,   1.813,   0.489,   8.026,   2.229,   7.000,  15.000,   0.781,   0.000,   0.000,   38,   6.042
08:32:08:535, 838348606851543,   16.334,   39.000, 2600,   6.899, 113.238,  31.455,   3.120,  53.520,  14.867, 49,  0,   0.420,   6.770,   1.881,   0.636,   8.395,   2.332,   7.000,  15.000,   0.781,   0.000,   0.000,   35,   8.136
08:32:09:076, 838349198305186,   16.875,   40.000, 2300,   6.909, 116.972,  32.492,   3.399,  55.357,  15.377, 50,  0,   0.422,   6.998,   1.944,   0.348,   8.583,   2.384,   7.000,  15.000,   0.781,   0.000,   0.000,   33,   7.326
08:32:09:615, 838349789756432,   17.415,   35.000, 2600,   6.813, 120.654,  33.515,   3.310,  57.146,  15.874, 49,  0,   0.422,   7.226,   2.007,   0.341,   8.767,   2.435,   7.000,  15.000,   0.781,   0.000,   0.000,   32,   6.234
08:32:10:143, 838350365890367,   17.942,   35.000, 2600,   6.874, 124.273,  34.520,   3.322,  58.895,  16.360, 49,  0,   0.420,   7.447,   2.069,   0.391,   8.973,   2.493,   7.000,  15.000,   0.781,   0.000,   0.000,   33,   6.204
08:32:10:685, 838350959737111,   18.484,   35.000, 2800,   6.835, 127.982,  35.550,   3.326,  60.700,  16.861, 51,  0,   0.380,   7.654,   2.126,   0.436,   9.209,   2.558,   7.000,  15.000,   0.781,   0.000,   0.000,   37,   6.900
08:32:11:251, 838351578380620,   19.049,   23.000,  500,   5.905, 131.320,  36.478,   2.476,  62.099,  17.250, 46,  0,   0.256,   7.798,   2.166,   0.739,   9.627,   2.674,   7.000,  15.000,   0.781,   0.000,   0.000,   37,   6.997
08:32:11:260, 838351591664027,   19.062,   37.000, 2800,   6.678, 131.401,  36.500,   3.384,  62.140,  17.261, 49,  0,   0.241,   7.801,   2.167,   0.624,   9.635,   2.676,   7.000,  15.000,   0.781,   0.000,   0.000,  144,   2.366

Total Elapsed Time (sec) = 19.061599
Measured RDTSC Frequency (GHz) = 1.094

Cumulative Processor Energy_0 (Joules) = 131.400818
Cumulative Processor Energy_0 (mWh) = 36.500227
Average Processor Power_0 (Watt) = 6.893484

Cumulative IA Energy_0 (Joules) = 62.140076
Cumulative IA Energy_0 (mWh) = 17.261132
Average IA Power_0 (Watt) = 3.259961

Cumulative DRAM Energy_0 (Joules) = 7.801147
Cumulative DRAM Energy_0 (mWh) = 2.166985
Average DRAM Power_0 (Watt) = 0.409260

Cumulative GT Energy_0 (Joules) = 9.634644
Cumulative GT Energy_0 (mWh) = 2.676290
Average GT Power_0 (Watt) = 0.505448
